id,pop,pop_above_60
18109,69403,14649
18113,47546,9748
18127,166570,33649
18133,37650,7616
18141,267246,53836
18145,44441,9346
18151,34267,8154
18157,180952,26843
18163,181305,38355
18167,108268,21399
18169,32358,8180
18173,60995,13267
18177,67866,16174
18183,33330,7331
19013,132496,27259
19033,43481,11480
19045,48365,11724
19049,74892,11956
19057,40208,10192
19061,95906,21284
19099,36726,8974
19103,139436,20005
19111,35369,8916
19113,216640,42795
19125,33248,7508
19127,40962,9623
19139,42913,9296
19153,452369,75873
19155,93213,20076
19163,169994,34976
19169,93586,14065
19179,35315,8213
19181,47542,9637
19187,37295,8929
19193,102530,19943
20015,66092,12784
20035,36079,8103
20037,39304,7622
20045,114967,16658
20079,34835,8185
20091,566814,100739
20103,78227,14208
20113,29252,7472
20125,34184,8326
20155,64058,15155
20161,75022,7865
20169,55735,11704
20173,506529,91242
20177,178792,39286
20209,160806,26129
21009,42925,9770
21015,124617,20383
21019,48917,12086
21021,29388,7108
21029,76961,14647
21035,38106,7891
21037,91475,17766
21047,74159,10968
21049,35657,7986
21059,98173,20931
21067,308306,51427
21071,38649,8745
21073,49778,11264
21083,37502,8558
21089,36477,9363
21093,107529,18399
21101,46396,10392
21107,46518,11149
21111,755809,152719
21113,50328,9212
21117,163007,29266
21121,31809,7071
21125,59751,12381
21145,65408,15757
21151,85838,15291
21157,31181,8783
21177,31309,7685
21179,44564,8288
21185,63037,10733
21195,63434,14379
21199,63635,15049
21209,50178,7909
21211,44290,8972
21227,118950,19700
21235,35794,7463
22001,62163,11629
22005,114738,16965
22009,41389,8731
22011,36259,7233
22015,123403,21824
22017,254742,51691
22019,195887,37951
22033,444690,76964
22045,73938,13887
22051,435092,91642
22055,231811,37277
22057,97474,18308
22061,47349,8080
22063,133949,22009
22069,39330,8197
22071,376738,67552
22073,155769,28825
22079,132225,26633
22089,52639,8604
22095,44161,7823
22097,83613,17074
22099,53126,9916
22101,53441,10933
22103,242960,50029
22105,125486,22753
22109,112742,20011
22113,59110,10938
22115,52476,7662
22117,46556,10500
22119,40617,10029
23001,107393,23594
23003,70005,19765
23005,286119,64209
23007,30402,8165
23009,54658,15733
23011,121112,29502
23013,39723,11656
23015,34156,11456
23017,57421,15074
23019,153437,34905
23023,35092,8997
23025,51577,13294
23027,38976,10427
23029,32191,9631
23031,199682,49285
24001,73549,18198
24003,555280,105270
24005,822959,178195
24009,90114,16640
24013,167444,35167
24015,101960,19446
24017,152754,24122
24019,32534,8451
24021,241373,43731
24023,29813,7930
24025,248966,50042
24027,304115,51826
24031,1017859,195847
24033,892816,146012
24035,48600,11308
24037,109614,17840
24041,37799,12380
24043,149270,31883
24045,101182,20039
24047,51519,16806
24510,622454,110199
25001,214766,76727
25003,129288,35726
25005,552763,117834
25009,763849,163538
25011,71144,18371
25013,468041,98623
25015,160759,32674
25017,1556116,301480
25021,687721,147451
25023,503681,111814
25025,758919,116902
25027,810935,158615
26005,112837,23757
26007,29068,8199
26009,23267,7736
26015,59147,14100
26017,106698,26301
26021,155565,37343
26023,43706,9879
26025,134790,30356
26027,51952,13427
26029,26134,7466
26031,25690,8393
26033,38586,8304
26035,30710,9282
26037,76905,16066
26041,36712,10500
26043,26012,7225
26045,108341,24075
26047,33018,8798
26049,415874,88845
26051,25501,8254
26055,89907,20894
26057,41878,9235
26059,46178,11135
26061,36660,8081
26063,32290,9946
26065,283491,48281
26067,64064,11907
26069,25401,9094
26073,70669,10626
26075,159759,34515
26077,256752,48658
26081,622590,107672
26087,88235,19458
26089,21772,8017
26091,98902,22812
26093,184591,37832
26099,854689,183285
26101,24536,7494
26103,67582,15505
26105,28711,8307
26107,43301,9960
26111,83624,18159
26115,150436,32951
26117,63004,13632
26121,171483,35611
26123,48029,11711
26125,1229503,258418
26139,273136,49669
26143,24068,9347
26145,196479,45249
26147,160429,37242
26149,61022,13831
26151,42014,11032
26155,69113,15707
26157,54420,13493
26159,75351,17238
26161,354092,60267
26163,1778969,345685
26165,32751,7954
27003,338764,57450
27005,33138,8749
27007,45434,9142
27009,39221,7010
27013,65125,11587
27017,35443,8001
27019,95715,13547
27021,28519,9077
27025,53834,10046
27027,60879,10476
27035,63048,17182
27037,408456,70058
27041,36620,10274
27047,30897,8578
27049,46377,11265
27053,1197776,213157
27059,38296,7363
27061,45354,13251
27067,42444,10089
27085,36046,8128
27097,32962,7734
27099,39227,9200
27109,148736,28156
27111,57511,16976
27115,29218,7083
27119,31547,7305
27123,527411,96992
27131,64886,12296
27137,200506,48464
27139,137322,18453
27141,90401,12650
27145,152595,27874
27147,36523,8061
27163,246670,45001
27169,51213,10319
27171,128691,20237
28001,31979,7126
28003,37319,8378
28033,168586,27560
28035,76267,13475
28045,45627,11044
28047,196268,35499
28049,245874,41513
28059,140676,27413
28067,68276,14309
28071,51169,8159
28073,58885,9748
28075,79832,16835
28081,85036,16092
28085,34765,7632
28087,59699,11683
28089,100202,17807
28093,36385,7612
28095,36175,8797
28109,55196,12453
28113,40075,8702
28121,146761,26499
28149,48020,9621
28151,49499,9486
29009,35726,9584
29015,18854,7091
29019,170770,25743
29021,89561,17997
29023,42951,10335
29027,44566,9054
29029,43927,14568
29031,77606,16187
29037,100781,20711
29043,80904,16025
29047,230361,41160
29051,76533,14936
29069,31562,7113
29071,101828,21564
29077,283206,58557
29091,40326,9876
29095,680905,128847
29097,117184,22054
29099,221577,41816
29101,54155,8657
29105,35514,7834
29107,32916,7859
29109,38244,8681
29113,53850,9006
29145,58777,13469
29159,42215,8894
29161,45029,9084
